chest_accelerometer_x,chest_accelerometer_y,ECG,Left_ankle_acceleration_x,Left_ankle_acceleration_y,class
-9.7788,0.5569,0.0083726,0.37683,-9.0618,standing
-9.7733,0.2788,-0.025118,0.40179000000000004,-9.2048,standing
-9.8609,0.11560999999999999,0.025118,0.48141000000000006,-9.1945,standing
-9.7409,0.17652,0.18001,0.42918999999999996,-9.1746,standing
-9.7821,0.21636999999999998,0.092098,0.40038,-9.2039,standing
-9.6911,0.21056,0.0,0.37217,-9.1214,standing
-9.7595,0.096549,-0.016745,0.44988999999999996,-9.1725,standing
-9.6936,0.33857,-0.05860800000000001,0.5712,-9.2629,standing
-9.7817,0.19472,-0.66562,0.45005,-9.1319,standing
-9.6884,0.075603,0.74935,0.59567,-9.1948,standing
-9.6159,-0.013763999999999998,-0.21769000000000002,0.47156000000000003,-9.1125,standing
-9.6812,0.22043000000000001,-0.025118,0.42458,-9.2893,standing
-9.7478,0.015088999999999998,-0.03349,0.39434,-9.4535,standing
-9.5204,0.26377,-0.016745,0.46401000000000003,-9.3413,standing
-9.7562,0.43833999999999995,-0.020931,0.50571,-9.332,standing
-9.6829,0.30756,0.0083726,0.44771000000000005,-9.274,standing
-9.8419,0.17740999999999998,0.03349,0.58495,-9.1542,standing
-9.6997,0.13783,0.0083726,0.22171999999999997,-8.9851,standing
-9.574,-0.085462,0.03349,0.48257,-9.1535,standing
-9.7047,0.38734,0.037676999999999995,0.39583,-9.2124,standing
-9.869,0.016402,0.066981,0.57599,-9.2639,standing
-9.7482,0.036531,0.046049,0.5825100000000001,-9.1517,standing
-9.7243,0.35875999999999997,0.041863,0.71501,-9.1745,standing
-9.9251,0.29663,0.07954,0.50769,-9.1104,standing
-9.7888,0.045481,0.10884,0.49841,-9.1822,standing
-9.7401,0.13743,0.10465999999999999,0.48796999999999996,-9.173,standing
-9.6822,0.2712,0.092098,0.49046999999999996,-9.0716,standing
-9.8215,0.16741,0.11722,0.45421000000000006,-9.1036,standing
-9.7402,0.139,0.13815,0.28944000000000003,-9.1217,standing
-9.6864,-0.021511000000000002,0.11722,0.6506,-9.2951,standing
-9.8863,0.37754,0.14652,0.45178,-9.1339,standing
-9.9671,0.37694,0.13815,0.46943,-9.2213,standing
-9.8952,0.31637,0.12977,0.44068999999999997,-9.2309,standing
-9.7356,0.41857,0.12559,0.52586,-9.1032,standing
-9.7807,0.14795,0.092098,0.48553,-9.0731,standing
-9.652999999999999,0.32878,0.10465999999999999,0.62183,-9.1723,standing
-9.8365,0.4101,0.071167,0.5454,-9.1409,standing
-9.6321,0.29083000000000003,0.092098,0.40626999999999996,-8.9531,standing
-9.468,0.16947,0.087912,0.34097,-9.1522,standing
-9.8587,0.50975,0.096285,0.39693,-9.1606,standing
-9.7105,0.17,0.083726,0.48163999999999996,-9.3528,standing
-9.7102,0.15800999999999998,0.071167,0.37318,-9.0416,standing
-9.734,0.33775,0.066981,0.49956999999999996,-9.1242,standing
-9.7884,0.026877999999999996,0.11722,0.76847,-9.2328,standing
-9.6278,0.078206,0.20513,0.38,-9.3336,standing
-9.4776,0.14089000000000002,0.23025,0.61014,-9.0229,standing
-9.6975,0.028417,0.12559,0.46343999999999996,-9.1852,standing
-9.6121,0.30175,0.020931,0.53632,-9.0513,standing
-9.8637,0.25792,0.016745,0.43755,-9.2526,standing
-9.8961,0.35925999999999997,-0.24699000000000002,0.44523999999999997,-9.3222,standing
